date,game_time,pitcher_name,pitcher_team,pitcher_throws,batter_name,batter_team,batter_position,batting_order,batter_bats
2024-08-17,6:40 PM ET,Nick Lodolo,Reds,L,H. Renfroe,Royals,RF,5,R
2024-08-17,6:40 PM ET,Nick Lodolo,Reds,L,F. Fermin,Royals,C,6,R
2024-08-17,6:40 PM ET,Nick Lodolo,Reds,L,G. Hampson,Royals,CF,7,R
2024-08-17,6:40 PM ET,Nick Lodolo,Reds,L,Paul DeJong,Royals,3B,8,R
2024-08-17,6:40 PM ET,Nick Lodolo,Reds,L,D. Blanco,Royals,LF,9,R
2024-08-17,6:40 PM ET,Michael Wacha,Royals,R,J. India,Reds,2B,1,R
2024-08-17,6:40 PM ET,Michael Wacha,Royals,R,E. De La Cruz,Reds,SS,2,S
2024-08-17,6:40 PM ET,Michael Wacha,Royals,R,T. Stephenson,Reds,C,3,R
2024-08-17,6:40 PM ET,Michael Wacha,Royals,R,TJ Friedl,Reds,CF,4,L
2024-08-17,6:40 PM ET,Michael Wacha,Royals,R,S. Steer,Reds,LF,5,R
2024-08-17,6:40 PM ET,Michael Wacha,Royals,R,J. Candelario,Reds,1B,6,S
2024-08-17,6:40 PM ET,Michael Wacha,Royals,R,Ty France,Reds,DH,7,R
2024-08-17,6:40 PM ET,Michael Wacha,Royals,R,Jake Fraley,Reds,RF,8,L
2024-08-17,6:40 PM ET,Michael Wacha,Royals,R,Noelvi Marte,Reds,3B,9,R
2024-08-17,7:05 PM ET,Cade Povich,Orioles,L,Jarren Duran,Red Sox,CF,1,L
2024-08-17,7:05 PM ET,Cade Povich,Orioles,L,R. Refsnyder,Red Sox,RF,2,R
2024-08-17,7:05 PM ET,Cade Povich,Orioles,L,T. O'Neill,Red Sox,LF,3,R
2024-08-17,7:05 PM ET,Cade Povich,Orioles,L,R. Devers,Red Sox,3B,4,L
2024-08-17,7:05 PM ET,Cade Povich,Orioles,L,Danny Jansen,Red Sox,C,5,R
2024-08-17,7:05 PM ET,Cade Povich,Orioles,L,R. Gonzalez,Red Sox,2B,6,R
2024-08-17,7:05 PM ET,Cade Povich,Orioles,L,T. Casas,Red Sox,1B,7,L
2024-08-17,7:05 PM ET,Cade Povich,Orioles,L,Connor Wong,Red Sox,DH,8,R
2024-08-17,7:05 PM ET,Cade Povich,Orioles,L,C. Rafaela,Red Sox,SS,9,R
2024-08-17,7:05 PM ET,Brayan Bello,Red Sox,R,C. Cowser,Orioles,LF,1,L
2024-08-17,7:05 PM ET,Brayan Bello,Red Sox,R,A. Santander,Orioles,DH,2,S
2024-08-17,7:05 PM ET,Brayan Bello,Red Sox,R,G. Henderson,Orioles,SS,3,L
2024-08-17,7:05 PM ET,Brayan Bello,Red Sox,R,Ryan O'Hearn,Orioles,RF,4,L
2024-08-17,7:05 PM ET,Brayan Bello,Red Sox,R,R. Mountcastle,Orioles,1B,5,R
2024-08-17,7:05 PM ET,Brayan Bello,Red Sox,R,J. Holliday,Orioles,2B,6,L
2024-08-17,7:05 PM ET,Brayan Bello,Red Sox,R,C. Mullins,Orioles,CF,7,L
2024-08-17,7:05 PM ET,Brayan Bello,Red Sox,R,Ramon Urias,Orioles,3B,8,R
2024-08-17,7:05 PM ET,Brayan Bello,Red Sox,R,James McCann,Orioles,C,9,R
2024-08-17,7:05 PM ET,Nathan Eovaldi,Rangers,R,Willi Castro,Twins,SS,1,S
2024-08-17,7:05 PM ET,Nathan Eovaldi,Rangers,R,T. Larnach,Twins,LF,2,L
2024-08-17,7:05 PM ET,Nathan Eovaldi,Rangers,R,Royce Lewis,Twins,3B,3,R
2024-08-17,7:05 PM ET,Nathan Eovaldi,Rangers,R,Matt Wallner,Twins,DH,4,L
2024-08-17,7:05 PM ET,Nathan Eovaldi,Rangers,R,C. Santana,Twins,1B,5,S
2024-08-17,7:05 PM ET,Nathan Eovaldi,Rangers,R,Max Kepler,Twins,RF,6,L
2024-08-17,7:05 PM ET,Nathan Eovaldi,Rangers,R,E. Julien,Twins,2B,7,L
2024-08-17,7:05 PM ET,Nathan Eovaldi,Rangers,R,C. Vazquez,Twins,C,8,R
2024-08-17,7:05 PM ET,Nathan Eovaldi,Rangers,R,A. Martin,Twins,CF,9,R
2024-08-17,7:05 PM ET,David Festa,Twins,R,M. Semien,Rangers,2B,1,R
2024-08-17,7:05 PM ET,David Festa,Twins,R,Corey Seager,Rangers,SS,2,L
2024-08-17,7:05 PM ET,David Festa,Twins,R,N. Lowe,Rangers,1B,3,L
2024-08-17,7:05 PM ET,David Festa,Twins,R,A. Garcia,Rangers,RF,4,R
2024-08-17,7:05 PM ET,David Festa,Twins,R,W. Langford,Rangers,LF,5,R
2024-08-17,7:05 PM ET,David Festa,Twins,R,Josh Jung,Rangers,3B,6,R
2024-08-17,7:05 PM ET,David Festa,Twins,R,Jonah Heim,Rangers,C,7,S
2024-08-17,7:05 PM ET,David Festa,Twins,R,Carson Kelly,Rangers,DH,8,R
2024-08-17,7:05 PM ET,David Festa,Twins,R,L. Taveras,Rangers,CF,9,S
2024-08-17,7:07 PM ET,Osvaldo Bido,Athletics,R,T. Fitzgerald,Giants,SS,1,R
2024-08-17,7:07 PM ET,Osvaldo Bido,Athletics,R,LaMonte Wade,Giants,1B,2,L
2024-08-17,7:07 PM ET,Osvaldo Bido,Athletics,R,Heliot Ramos,Giants,LF,3,R
2024-08-17,7:07 PM ET,Osvaldo Bido,Athletics,R,M. Conforto,Giants,DH,4,L
2024-08-17,7:07 PM ET,Osvaldo Bido,Athletics,R,Matt Chapman,Giants,3B,5,R
2024-08-17,7:07 PM ET,Osvaldo Bido,Athletics,R,M. Yastrzemski,Giants,RF,6,L
2024-08-17,7:07 PM ET,Osvaldo Bido,Athletics,R,P. Bailey,Giants,C,7,S
2024-08-17,7:07 PM ET,Osvaldo Bido,Athletics,R,Brett Wisely,Giants,2B,8,L
2024-08-17,7:07 PM ET,Osvaldo Bido,Athletics,R,Grant McCray,Giants,CF,9,L
2024-08-17,7:07 PM ET,Hayden Birdsong,Giants,R,L. Butler,Athletics,RF,1,L
2024-08-17,7:07 PM ET,Hayden Birdsong,Giants,R,Brent Rooker,Athletics,DH,2,R
2024-08-17,7:07 PM ET,Hayden Birdsong,Giants,R,JJ Bleday,Athletics,CF,3,L
2024-08-17,7:07 PM ET,Hayden Birdsong,Giants,R,M. Andujar,Athletics,LF,4,R
2024-08-17,7:07 PM ET,Hayden Birdsong,Giants,R,S. Langeliers,Athletics,C,5,R
2024-08-17,7:07 PM ET,Hayden Birdsong,Giants,R,Seth Brown,Athletics,1B,6,L
2024-08-17,7:07 PM ET,Hayden Birdsong,Giants,R,Zack Gelof,Athletics,2B,7,R
2024-08-17,7:07 PM ET,Hayden Birdsong,Giants,R,D. Hernaiz,Athletics,3B,8,R
2024-08-17,7:07 PM ET,Hayden Birdsong,Giants,R,M. Schuemann,Athletics,SS,9,R
2024-08-17,7:10 PM ET,Hunter Brown,Astros,R,Nicky Lopez,White Sox,SS,1,L
2024-08-17,7:10 PM ET,Hunter Brown,Astros,R,Luis Robert,White Sox,CF,2,R
2024-08-17,7:10 PM ET,Hunter Brown,Astros,R,A. Benintendi,White Sox,LF,3,L
2024-08-17,7:10 PM ET,Hunter Brown,Astros,R,A. Vaughn,White Sox,1B,4,R
2024-08-17,7:10 PM ET,Hunter Brown,Astros,R,Gavin Sheets,White Sox,DH,5,L
2024-08-17,7:10 PM ET,Hunter Brown,Astros,R,Lenyn Sosa,White Sox,3B,6,R
2024-08-17,7:10 PM ET,Hunter Brown,Astros,R,D. Fletcher,White Sox,RF,7,L
2024-08-17,7:10 PM ET,Hunter Brown,Astros,R,C. Robinson,White Sox,C,8,R
2024-08-17,7:10 PM ET,Hunter Brown,Astros,R,B. Baldwin,White Sox,2B,9,S
2024-08-17,7:10 PM ET,Chris Flexen,White Sox,R,Jose Altuve,Astros,2B,1,R
2024-08-17,7:10 PM ET,Chris Flexen,White Sox,R,Y. Alvarez,Astros,LF,2,L
2024-08-17,7:10 PM ET,Chris Flexen,White Sox,R,Yainer Diaz,Astros,C,3,R
2024-08-17,7:10 PM ET,Chris Flexen,White Sox,R,Jeremy Pena,Astros,SS,4,R
2024-08-17,7:10 PM ET,Chris Flexen,White Sox,R,J. Singleton,Astros,1B,5,L
2024-08-17,7:10 PM ET,Chris Flexen,White Sox,R,V. Caratini,Astros,DH,6,S
2024-08-17,7:10 PM ET,Chris Flexen,White Sox,R,Jake Meyers,Astros,CF,7,R
2024-08-17,7:10 PM ET,Chris Flexen,White Sox,R,S. Whitcomb,Astros,3B,8,R
2024-08-17,7:10 PM ET,Chris Flexen,White Sox,R,M. Dubon,Astros,RF,9,R
2024-08-17,7:15 PM ET,Freddy Peralta,Brewers,R,Steven Kwan,Guardians,LF,1,L
2024-08-17,7:15 PM ET,Freddy Peralta,Brewers,R,Will Brennan,Guardians,DH,2,L
2024-08-17,7:15 PM ET,Freddy Peralta,Brewers,R,Jose Ramirez,Guardians,3B,3,S
2024-08-17,7:15 PM ET,Freddy Peralta,Brewers,R,Josh Naylor,Guardians,1B,4,L
2024-08-17,7:15 PM ET,Freddy Peralta,Brewers,R,Lane Thomas,Guardians,RF,5,R
2024-08-17,7:15 PM ET,Freddy Peralta,Brewers,R,A. Gimenez,Guardians,2B,6,L
2024-08-17,7:15 PM ET,Freddy Peralta,Brewers,R,T. Freeman,Guardians,CF,7,R
2024-08-17,7:15 PM ET,Freddy Peralta,Brewers,R,Bo Naylor,Guardians,C,8,L
2024-08-17,7:15 PM ET,Freddy Peralta,Brewers,R,B. Rocchio,Guardians,SS,9,S
